exercise,error,p_clean,true_faults,min_angle,max_angle,rom,ecc_s,con_s,torso_lean_max,torso_sway,hip_line_min,valgus_min,elbow_drift_max,depth,heel_rise
squat,missed_fault,0.948,forward_lean,53.883,170.778,116.895,0.8,0.967,23.68,13.35,172.721,1.074,7.351,0.111,0.0
squat,missed_fault,0.93,knee_valgus,45.05,178.649,133.599,1.3,1.2,13.642,12.686,172.995,1.0,4.094,0.031,0.0
squat,missed_fault,0.919,knee_valgus,38.974,169.43,130.455,1.333,0.9,32.348,27.477,172.051,1.0,9.435,0.168,0.007
squat,missed_fault,0.908,shallow_depth,57.687,169.016,111.329,0.833,1.167,6.461,8.606,174.687,1.016,5.146,0.13,0.006
squat,missed_fault,0.907,knee_valgus,44.357,170.803,126.445,1.267,0.6,30.82,30.871,175.316,1.0,8.523,0.065,0.0
squat,missed_fault,0.904,rushed_descent,53.078,182.667,129.589,0.667,0.4,10.805,7.226,174.944,1.161,18.806,0.129,0.0
squat,missed_fault,0.896,forward_lean,59.556,169.364,109.808,1.067,0.833,11.556,14.3,177.1,1.099,8.706,0.072,0.03
squat,missed_fault,0.895,knee_valgus,40.015,171.03,131.015,1.167,0.9,28.422,28.024,174.078,1.0,7.782,0.169,0.034
squat,missed_fault,0.891,knee_valgus,42.96,172.547,129.586,1.4,0.767,26.627,25.831,175.489,1.0,10.478,0.055,0.027
squat,missed_fault,0.89,knee_valgus,36.922,166.501,129.579,1.133,0.6,41.877,37.809,174.166,1.0,11.905,0.366,0.054
squat,missed_fault,0.889,knee_valgus,39.863,166.026,126.163,1.2,0.567,39.572,37.897,174.905,1.0,8.45,0.16,0.032
squat,missed_fault,0.887,forward_lean,62.856,170.736,107.88,1.133,0.8,15.791,13.985,176.245,1.141,6.458,0.05,0.0
squat,missed_fault,0.886,knee_valgus,42.518,174.655,132.137,1.233,0.7,28.235,31.288,168.532,1.0,10.989,0.171,0.013
squat,missed_fault,0.876,knee_valgus,49.29,168.598,119.308,1.333,1.3,31.902,32.666,176.904,1.0,7.656,0.082,0.0
squat,missed_fault,0.875,forward_lean,60.295,168.574,108.279,1.1,1.1,15.677,13.437,169.159,1.185,9.573,0.124,0.023
squat,false_alarm,0.022,-,71.505,172.256,100.751,0.467,0.6,6.555,8.001,172.435,0.89,16.62,-0.414,0.0
squat,false_alarm,0.023,-,54.77,181.55,126.78,0.333,0.633,22.319,19.132,176.2,1.063,12.817,-0.022,0.021
squat,false_alarm,0.035,-,52.108,177.064,124.956,1.367,1.067,47.277,44.881,179.912,1.0,11.92,0.157,0.0
squat,false_alarm,0.063,-,60.108,171.037,110.929,1.3,0.967,19.614,20.784,176.492,0.981,8.449,-0.293,0.0
squat,false_alarm,0.068,-,45.79,174.423,128.633,1.267,0.733,21.779,20.886,174.149,0.736,13.575,-0.012,0.025
squat,false_alarm,0.076,-,60.213,164.767,104.554,1.2,0.9,39.885,38.58,177.771,1.0,15.107,-0.165,0.028
