exercise,error,p_clean,true_faults,min_angle,max_angle,rom,ecc_s,con_s,torso_lean_max,torso_sway,hip_line_min,valgus_min,elbow_drift_max,depth,heel_rise
squat,missed_fault,0.937,knee_valgus,44.357,170.803,126.445,1.267,0.6,30.82,30.871,175.316,1.0,8.523,0.065,0.0
squat,missed_fault,0.895,knee_valgus,42.518,174.655,132.137,1.233,0.7,28.235,31.288,168.532,1.0,10.989,0.171,0.013
squat,missed_fault,0.887,knee_valgus,44.673,166.486,121.813,1.167,0.733,26.489,25.041,182.213,1.0,6.917,0.151,0.0
squat,missed_fault,0.881,knee_valgus,50.214,173.651,123.438,1.267,0.733,33.018,28.374,175.46,1.0,11.305,0.07,0.0
squat,missed_fault,0.88,knee_valgus,39.528,173.164,133.636,1.7,0.467,21.611,20.237,174.2,1.0,9.668,0.124,0.005
squat,missed_fault,0.879,forward_lean,50.092,176.292,126.2,1.0,0.933,25.254,23.517,173.336,1.041,16.403,0.208,0.0
squat,missed_fault,0.874,knee_valgus,42.96,172.547,129.586,1.4,0.767,26.627,25.831,175.489,1.0,10.478,0.055,0.027
squat,missed_fault,0.86,knee_valgus,39.863,166.026,126.163,1.2,0.567,39.572,37.897,174.905,1.0,8.45,0.16,0.032
squat,missed_fault,0.86,knee_valgus,39.63,180.223,140.594,1.2,0.967,20.814,21.162,172.295,1.0,9.642,0.06,0.0
squat,missed_fault,0.859,knee_valgus,40.015,171.03,131.015,1.167,0.9,28.422,28.024,174.078,1.0,7.782,0.169,0.034
squat,missed_fault,0.856,forward_lean,49.469,172.701,123.231,1.133,1.1,41.401,39.66,174.439,1.009,10.257,0.203,0.022
squat,missed_fault,0.851,forward_lean,54.889,183.321,128.432,1.067,1.133,10.927,16.633,169.574,0.932,8.222,0.134,0.0
squat,missed_fault,0.845,knee_valgus,52.826,176.939,124.114,1.133,0.633,14.45,13.22,175.9,0.865,7.532,0.09,0.0
squat,missed_fault,0.845,forward_lean,53.007,177.63,124.623,1.033,1.233,16.215,15.989,177.063,0.921,6.966,0.24,0.0
squat,missed_fault,0.842,knee_valgus,54.681,178.431,123.75,1.167,0.5,42.066,37.782,179.919,1.0,12.761,0.034,0.0
